Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-clear,south,clear, 11/08  14:00:00,14,36288.00769,24.14546112,23.92421587,24.03483849,0,35.6565964,23.92421587,0.008011423,43.17981462,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  15:00:00,14,36288.00769,24.10175366,23.88453662,23.99314514,0,34.8852955,23.88453662,0.00797792,43.1042289,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  16:00:00,14,36288.00769,24.06411209,23.87846109,23.97128659,0,35.95088294,23.87846109,0.008020239,43.37279646,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  17:00:00,13.375,36288.00769,23.91586849,23.77982745,23.84784797,0,39.32863427,23.77982745,0.00820513,44.64139979,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  18:00:00,13,36288.00769,23.8380684,23.75473697,23.79640268,0,54.18930018,23.75473697,0.008378486,45.66760163,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  19:00:00,13,86832.0184,23.81726816,23.77466879,23.79596848,0,51.89691895,23.77466879,0.008499693,46.28114206,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  20:00:00,13,115344.0244,23.8094145,23.82245921,23.81593685,0,55.13512463,23.82245921,0.008630085,46.84633514,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  21:00:00,13,129600.0275,23.84965819,23.96547055,23.90756437,0,61.75322456,23.96547055,0.008751973,47.09212969,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  22:00:00,13,115344.0244,23.8880803,24.00484981,23.94646505,0,73.24950988,24.00484981,0.008842864,47.49153766,0,0,0,23.36523976,84114.86315,18.06763159,65043.47371,0,0,484173.6449
s-clear,south,clear, 11/08  23:00:00,13,86832.0184,23.82924922,23.90070969,23.86497945,0,48.68477061,23.90070969,0.008949161,48.37438757,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  24:00:00,13,42768.00906,23.72165699,23.70499383,23.71332541,0,42.70696471,23.70499383,0.009046628,49.47291372,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/09  01:00:00,13,28512.00604,23.61488874,23.57163372,23.59326123,0,44.41684063,23.57163372,0.009109677,50.2140296,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/09  02:00:00,12.375,22032.00467,23.50742552,23.41973364,23.46357958,0,49.27240318,23.41973364,0.009151409,50.90522322,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/09  03:00:00,12.625,14256.00302,23.40503368,23.30722863,23.35613115,0,49.50587719,23.30722863,0.009176558,51.39034171,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/09  04:00:00,12.375,14256.00302,23.31431586,23.23935428,23.27683507,0,47.72156311,23.23935428,0.00919233,51.68923576,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/09  05:00:00,12,14256.00302,23.20340312,23.07859346,23.14099829,0,52.47186469,23.07859346,0.009151444,51.96468754,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/09  06:00:00,12,28512.00604,23.11628898,22.99645544,23.05637221,0,52.90377484,22.99645544,0.009020381,51.48642135,0,0,0,0,0,0,0,0,0,484173.6449
