Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
n-exist,n,exist, 04/07  15:00:00,11.625,0.195,36288.00769,2.689580258,9682.48893,0.140393056,82.27473601,0.025051018,63.75436574,0.005017979,63.25474332,0.000895382,44.01250962,1.18889757,4280.03125,0.116318195,63.47462638,0.020755223,44.21688464,1.500682689,5402.45768,756.8412423,8.130191359,613.5667269,0,20.59139169,14.53934947,0,14.54051992,0,21.00002147,20.9589031,13.1556343,1,1,11.4,21.334,0,233439.5636,0,262873.8396,0
n-exist,n,exist, 04/07  16:00:00,12,0.3,36288.00769,10.07707547,36277.4717,0.662385763,82.07074847,0.906133539,63.06109289,0.131777157,60.90005957,0.191544865,41.89109276,4.045617673,14564.22362,0.578406918,63.86083939,0.792995604,44.25303875,6.031457798,21713.24807,837.2394539,8.599542696,673.3280863,0,20.63639321,14.72446114,0,14.74122276,0,21.00001936,20.98774718,13.10098167,1,1,11.4,21.334,0,164606.7149,0,262873.8396,0
n-exist,n,exist, 04/07  17:00:00,11.375,0.525,36288.00769,0,0,0.799952197,42.78234701,0.703324293,33.29510422,0.437555787,32.12430894,0.412949213,22.57257839,0,0,0.73765748,33.26988282,0.648928889,23.49056737,0,0,431.8812428,5.562032438,346.1276697,0,20.58275544,14.11979565,0,14.12671918,0,21.00000803,20.9149832,13.50196347,1,1,11.4,21.334,0,217683.6825,0,262873.8396,0
n-exist,n,exist, 04/07  18:00:00,11,0.525,36288.00769,0,0,0.924092172,58.07206554,3.230913091,47.46633458,0.788585494,47.37571489,2.75569257,36.94952292,0,0,0.889091676,49.98745713,3.106874326,39.21707817,0,0,412.2089287,5.323983013,328.3828439,0,20.54005059,14.10820006,0,14.12407589,0,20.99996733,20.94427533,13.27217298,1,1,11.4,21.334,0,133618.3908,0,262873.8396,0
n-exist,n,exist, 04/07  19:00:00,10.375,0.525,86832.0184,0,0,0.243962785,6.429747166,0.533872634,5.313566484,0.244457255,5.850116184,0.534954701,4.709225915,0,0,0.247223439,5.894568734,0.541008042,4.748184066,0,0,23.29181049,0,18.48776011,0,20.44116533,13.51281178,0,13.51310967,0,20.99998843,20.85210564,13.65907864,1,1,11.4,21.334,0,226165.9887,0,262873.8396,0
n-exist,n,exist, 04/07  20:00:00,10,0.75,115344.0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.23275665,13.20569676,0,13.20563772,0,21.00001645,20.77453772,14.08593698,1,1,11.4,21.334,0,254581.3888,0,262873.8396,0
n-exist,n,exist, 04/07  21:00:00,10,0.75,129600.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.10625015,13.32313433,0,13.32307145,0,21.00000211,20.75193337,14.29256884,1,1,11.4,21.334,0,206852.1495,0,262873.8396,0
n-exist,n,exist, 04/07  22:00:00,10,0.87,115344.0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0520586,13.32551089,0,13.32544631,0,20.99999544,20.73497315,14.46833066,1,1,11.4,21.334,0,181312.2636,0,262873.8396,0
n-exist,n,exist, 04/07  23:00:00,10,0.975,86832.0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95864806,13.13317444,0,13.13311248,0,21.00004249,20.68267782,14.86543629,1,1,11.4,21.334,0,332589.0853,0,262873.8396,0
n-exist,n,exist, 04/07  24:00:00,9.375,0.975,42768.00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.84634694,13.02494862,0,13.02488326,0,21.00004605,20.62719545,15.15823382,1,1,11.4,21.334,0,476229.0956,0,262873.8396,0
