Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-singletint,south,existing, 04/30  18:00:00,26.025,44549.99547,26.54892526,23.99981569,25.27437047,0,548.053896,23.99981569,0.009033857,46.7127213,0,0,0,971.4459035,3497205.252,819.3994223,2949837.92,0,0,915433.6117
s-singletint,south,existing, 04/30  19:00:00,25.1625,114749.9883,26.07185565,23.99980675,25.0358312,0,444.9856016,23.99980675,0.009180828,47.46165391,0,0,0,855.8178512,3080944.264,709.0602541,2552616.915,0,0,915433.6117
s-singletint,south,existing, 04/30  20:00:00,23.725,134999.9863,25.63018415,23.99977756,24.81498086,0,370.4975215,23.99977756,0.009370958,48.4300439,0,0,0,769.4165794,2769899.686,622.4623181,2240864.345,0,0,915433.6117
s-singletint,south,existing, 04/30  21:00:00,22.2625,134999.9863,25.34019655,23.99976627,24.66998141,0,326.5352212,23.99976627,0.009543086,49.30622139,0,0,0,717.2940829,2582258.698,566.1737419,2038225.471,0,0,915433.6117
s-singletint,south,existing, 04/30  22:00:00,21.825,134999.9863,25.16011158,23.99981122,24.5799614,0,282.0599942,23.99981122,0.009656932,49.88531183,0,0,0,665.3259708,2395173.495,518.0162592,1864858.533,0,0,915433.6117
s-singletint,south,existing, 04/30  23:00:00,22.0875,114749.9883,25.02385022,23.99983547,24.51184285,0,219.6522417,23.99983547,0.009794755,50.58614595,0,0,0,593.7347997,2137445.279,457.8253957,1648171.424,0,0,915433.6117
s-singletint,south,existing, 04/30  24:00:00,22.325,55349.99437,24.91301453,23.99984093,24.45642773,0,182.0413039,23.99984093,0.009970815,51.48106423,0,0,0,555.3289879,1999184.357,422.2117137,1519962.169,0,0,915433.6117
s-singletint,south,existing, 05/01  01:00:00,22.525,29699.99698,24.83218428,23.99982871,24.4160065,0,177.8092271,23.99982871,0.01017181,52.83995012,0,0,0,564.4938116,2032177.722,419.6539594,1510754.254,0,0,915433.6117
s-singletint,south,existing, 05/01  02:00:00,22.725,22949.99767,24.7320128,23.99982912,24.36592096,0,160.5457998,23.99982912,0.010364393,54.02898793,0,0,0,554.5494846,1996378.145,404.0704617,1454653.662,0,0,915433.6117
s-singletint,south,existing, 05/01  03:00:00,22.9875,14849.99849,24.65199646,23.99983839,24.32591743,0,146.9467282,23.99983839,0.010528645,54.87093081,0,0,0,546.5425682,1967553.245,392.6829047,1413658.457,0,0,915433.6117
s-singletint,south,existing, 05/01  04:00:00,23.225,14849.99849,24.62891675,23.99982501,24.31437088,0,143.4994033,23.99982501,0.010731317,55.90930287,0,0,0,554.6342576,1996683.327,391.2317586,1408434.331,0,0,915433.6117
s-singletint,south,existing, 05/01  05:00:00,23.3,14849.99849,24.58235736,23.99983018,24.29109377,0,136.5732192,23.99983018,0.010929408,56.92350526,0,0,0,555.9537966,2001433.668,384.9327916,1385758.05,0,0,915433.6117
s-singletint,south,existing, 05/01  06:00:00,23.3,29699.99698,24.5521241,23.99985274,24.27598842,0,131.8628253,23.99985274,0.011086694,57.76500116,0,0,0,557.9261087,2008533.991,380.2186767,1368787.236,0,0,915433.6117
s-singletint,south,existing, 05/01  07:00:00,22.9875,59399.99396,24.65088223,23.99990572,24.32539397,0,179.4201948,23.99990572,0.011115154,57.96924964,0,0,0,629.5322409,2266316.067,425.114202,1530411.127,0,0,915433.6117
