Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-singletint-lowe,south,lowe panel, 06/05  02:00:00,25,22949.99767,24.96163192,23.99975774,24.48069483,0,198.9558233,23.99975774,0.011028316,57.42990082,0,0,0,528.8597427,1903895.074,363.5113914,1308641.009,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  03:00:00,24.625,14849.99849,24.88519949,23.99978001,24.44248975,0,185.2338294,23.99978001,0.011256543,58.59721041,0,0,0,516.5637585,1859629.53,346.6103241,1247797.167,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  04:00:00,24.4,14849.99849,24.81847163,23.99980544,24.40913854,0,173.5205335,23.99980544,0.011393462,59.29705672,0,0,0,503.3892852,1812201.427,332.9898449,1198763.442,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  05:00:00,24.4,14849.99849,24.76784781,23.99981814,24.38383297,0,165.0744048,23.99981814,0.011499768,59.84023967,0,0,0,495.5726881,1784061.677,324.5434326,1168356.357,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  06:00:00,24.4,29699.99698,24.76599777,23.99982908,24.38291343,0,164.5751592,23.99982908,0.011580873,60.25452504,0,0,0,498.8732287,1795943.623,324.0404284,1166545.542,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  07:00:00,24.775,59399.99396,25.00099401,23.99985116,24.50042259,0,238.7954856,23.99985116,0.011445983,59.56526038,0,0,0,612.9724348,2206700.765,401.3745431,1444948.355,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  08:00:00,25.6875,75599.99231,25.34947817,23.99986858,24.67467338,0,322.687395,23.99986858,0.0110456,57.5541967,0,0,0,725.3971571,2611429.766,492.9225394,1774521.142,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  09:00:00,27.85,59399.99396,25.61862749,23.99986434,24.80924591,0,336.7129535,23.99986434,0.010684653,55.72670587,0,0,0,734.2715543,2643377.595,525.2204664,1890793.679,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  10:00:00,28.9,59399.99396,25.81311136,23.99988383,24.9064976,0,370.3419368,23.99988383,0.010360904,54.06575869,0,0,0,764.3748767,2751749.556,567.6673825,2043602.577,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  11:00:00,30.275,37799.99615,26.05523573,23.99988998,25.02756286,0,410.8274693,23.99988998,0.01008605,52.62108602,0,0,0,803.0689647,2891048.273,619.7371727,2231053.822,0,0,562028.1994
